Name,Latitude,Longitude,Category,Budget,Cuisine,Ambience,Rating
Sin & Tonic,13.0458705335593,80.2397095956817,Restobar,High,"Modern cocktails, global bites","Trendy, vibrant, youthful",4.5
Koox,13.0301207125311,80.2442634533532,Rooftop,High,Japanese rooftop dining,"Luxury rooftop, romantic",4.6
The Cycle Gap,13.0878540410184,80.217840939862,Restobar,Medium,"Continental, Asian","Quirky, youthful, artsy",4.3
The Velveteen Rabbit,13.0272068470572,80.2547523956813,Restobar,Medium,"European, Finger food","Cozy, chic, artsy",4.2
Bay 146,13.0462779369751,80.2611415245176,Restobar,High,"Continental, Indian","Live music, energetic vibe",4.4
Q Bar,13.0186328104086,80.2048713593849,Restobar,High,Fusion cuisine,"Rooftop, luxurious, stylish",4.6
Radio Room,13.0174717967154,80.2704991245171,Restobar,Medium,"Continental, Cocktails","Retro, youthful, music themed",4.2
Sudaka,13.0432312841958,80.2446733515019,Restobar,High,South American,"Exotic, stylish, niche crowd",4.5
Ciclo Café,13.0262573110663,80.2414642747516,Café,Medium,"Continental, Café","Bicycle-themed, youthful, cozy",4.3
Wild Garden Café (Amethyst),13.0575993245172,80.2593420515021,Café,Medium,"Italian, Café, Desserts","Colonial-style bungalow, garden café",4.5
The Brew Room,13.0489014386841,80.2601893731649,Café,Medium,"Coffee, Continental",Charming garden café,4.5
Tryst Gourmet,13.0586334205943,80.26413833801,Café,Medium,"European bakery, Café","Upscale, elegant, cozy",4.4
Writer’s Café,13.0543305671029,80.2574422091739,Café,Low,"Café, Continental","Socially driven, book café",4.5
Chamiers Café,13.0286346563683,80.2502248245173,Café,Medium,"European, Café","Colonial interior, calm",4.4
Madras Square,12.9562547356579,80.2589593533519,Café,Medium,"European, Italian, Café","Garden café, tranquil, rustic",4.3
Hamsa,13.0099361630999,80.2528440245169,Restaurant,High,Traditional Indian,"Luxurious, royal ambience",4.6
Avartana,13.0106991487339,80.2207616398607,Restaurant,High,Progressive South Indian,"Fine dining, futuristic",4.7
Ottimo Cucina Italiana,13.0108875292592,80.220719295681,Restaurant,High,Italian fine dining,"Elegant, luxurious",4.6
Soy Soi,13.0195480193904,80.2412161361578,Restaurant,Medium,Pan-Asian,"Trendy, colorful, casual fine dining",4.5
Kaidi Kitchen,13.0446416268765,80.2613355380098,Restaurant,Medium,Multi-cuisine (Veg),"Prison-themed, quirky",4.3
The Marina,13.06918081732,80.2522586719412,Restaurant,Medium,Seafood,"Elegant, coastal vibes",4.4
Ashvita Bistro,13.0271952416299,80.2583822245172,Restaurant,Medium,Global fusion,"Artsy, creative, youthful",4.4
Hub at ECR,12.9341295067376,80.2518520226641,Restobar,Medium,"Continental, Finger food","Beachside vibes, energetic",4.2
Lower Deck,13.0567441225142,80.2428601956818,Restobar,Medium,Continental,"Ship-themed, lively",4.1
Twist by the Tale,13.0631813144587,80.2517004856375,Restaurant,Medium,Modern Indian,"Fusion style, stylish",4.3
Tovo Infusions,13.0439818354767,80.2740424245176,Restaurant,Medium,Experimental Continental,"Youthful, modern, quirky",4.4
The Fat Boy,13.0366973929535,80.2505129325105,Café,Medium,"American Diner, Café",Retro diner vibes,4.2
East Coast at Madras Square,12.9583249674724,80.2579508468902,Café,Medium,"Continental, Pasta","Cute, vibrant, cozy",4.4
Crimson Chakra,13.0201097699508,80.2535696683213,Restaurant,Medium,"North Indian, Fusion",Homely bungalow style,4.4
Ratna Café,13.0678862056743,80.2741685710524,Café,Medium,Iconic sambar-idly spot since 1948,"Simple, historic",4.4
Kipling Café,12.8956272687547,80.2523104245149,Café,High,"Continental, cocktails","Beach view, romantic",4.1
The 90’s Café,13.4781579078225,80.2395160665098,Café,Low,"Nostalgia menu, fast food","Retro, fun",4.0
Café Mercara Express (ITC),13.0114847751947,80.2208510803373,Café,High,"Coffee, light bites","Elegant, hotel vibe",4.2
Dakshin (Crowne Plaza),13.0305578016766,80.2507915686969,Restaurant,High,Authentic South Indian fine dining,"Elegant, cultural",4.5
Bay View,12.8025987625785,80.2472554620302,Restaurant,High,Seafood & coastal cuisine,Stunning sea view,4.4
Azuri Bay,13.0111591085689,80.2541559398607,Rooftop,Medium,"Pan-Asian, Italian",Romantic rooftop,4.2
Kefi (Taj Club House),13.0617516737297,80.2636984515022,Rooftop,High,"Mediterranean
","Candlelit, rooftop romance",4.3
Surf Turf,12.786425530114,80.2542724202426,Café,Medium,"Continental, Chinese, Italian, Seafood, Desserts, Coffee, Juices, Beverages",Breezy beachfront café with a surf-village vibe; integrates water-sport activities,4.1
Seagull,12.8027695562054,80.2474666203718,Restaurant,High,Multicuisine seafood/fine-dining,"Elegant, upscale resort ocean-view fine dining",4.6
L’attitude 49,12.6271076030441,80.1961464355825,Restaurant,High,"Singaporean, Asian, Continental, North Indian","Elegant, calm, seaside deck",4.5
Le Yogi Restaurant,12.6200610355986,80.1974656355825,Restaurant,Medium,"North Indian, Seafood, South Indian, Nepalese","Laid-back, rooftop-like, cozy, nostalgic",4.1
Korkai,12.9191952656611,80.2548145369995,Restaurant,High,Pan-Indian,"Romantic, upscale resort atmosphere",4.6
The Beach Terrace,12.9142451239074,80.2554766220875,Café,Medium,Multi-cuisine & cocktails,"Elegant, Santorini-inspired, beachfront vibe",4.8
